id (string),tokens (sequence),ner_tags (sequence),ner_coarse_tags (sequence)
"""60""","[ ""Zweck-"", "","", ""Wirkungs-"", ""oder"", ""Funktionsangaben"", ""können"", ""als"", ""Bestandteile"", ""eines"", ""Patentanspruchs"", ""an"", ""dessen"", ""Aufgabe"", ""teilnehmen"", "","", ""den"", ""geschützten"", ""Gegenstand"", ""gegenüber"", ""dem"", ""Stand"", ""der"", ""Technik"", ""abzugrenzen"", "","", ""wenn"", ""sie"", ""das"", ""Vorrichtungselement"", "","", ""auf"", ""das"", ""sie"", ""sich"", ""beziehen"", "","", ""als"", ""ein"", ""solches"", ""definieren"", "","", ""das"", ""so"", ""ausgebildet"", ""sein"", ""muss"", "","", ""dass"", ""es"", ""die"", ""betreffende"", ""Funktion"", ""erfüllen"", ""kann"", ""("", ""BGH"", "","", ""Urteil"", ""vom"", ""7."", ""Juni"", ""2006"", ""–"", ""X"", ""ZR"", ""10504"", ""–"", "","", ""juris"", "","", ""Luftabscheider"", ""für"", ""Milchsammelanlage"", ""in"", ""Fortführung"", ""von"", ""BGH"", "","", ""12."", ""Juli"", ""1990"", "","", ""X"", ""ZR"", ""12188"", "","", ""BGHZ"", ""112"", "","", ""140"", "","", ""155"", ""f."", ""–"", ""Befestigungsvorrichtung"", ""II"", ""und"", ""Urteil"", ""vom"", ""7."", ""November"", ""1978"", ""–"", ""X"", ""ZR"", ""5877"", "","", ""GRUR"", ""1979"", "","", ""149"", "","", ""151"", ""–"", ""Schießbolzen"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14 ]"
"""61""","[ ""Die"", ""entsprechenden"", ""Bestimmungen"", ""von"", ""Satzung"", ""und"", ""Verteilungsplänen"", ""seien"", ""gemäß"", ""§"", ""307"", ""Abs."", ""1"", ""Satz"", ""1"", "","", ""Abs."", ""2"", ""Nr."", ""1"", ""BGB"", ""unwirksam"", ""("", ""vgl."", ""BGHZ"", ""210"", "","", ""77"", ""<"", ""86"", ""Rn."", ""25"", "">"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14 ]"
"""62""","[ ""Dies"", ""gilt"", ""auch"", ""nach"", ""dem"", ""Inkrafttreten"", ""des"", ""Bilanzrechtsmodernisierungsgesetzes"", ""am"", ""29."", ""Mai"", ""2009"", ""("", ""BGBl."", ""I"", ""S."", ""1102"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 14 ]"
"""63""","[ ""Die"", ""Klägerin"", ""hat"", ""die"", ""Fahrkosten"", ""nach"", ""Aufnahme"", ""des"", ""BFD"", ""bereits"", ""auf"", ""4641,29"", ""Euro"", ""beziffert"", ""und"", ""diesen"", ""Betrag"", ""trotz"", ""angegebener"", ""Krankheitszeiten"", ""zu"", ""Beginn"", ""des"", ""BFD"", ""nicht"", ""korrigiert"", "","", ""sodass"", ""der"", ""Wert"", ""des"", ""Beschwerdegegenstandes"", ""750"", ""Euro"", ""("", ""vgl"", ""§"", ""144"", ""Abs"", ""1"", ""Nr"", ""1"", ""SGG"", "")"", ""übersteigt"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 14, 14, 14 ]"
"""64""","[ ""Jedoch"", ""besteht"", ""nach"", ""der"", ""Rechtsprechung"", ""des"", ""Bundesgerichtshofs"", ""ein"", ""für"", ""die"", ""Strafzumessung"", ""maßgebliches"", ""Stufenverhältnis"", ""von"", ""so"", ""genannten"", ""harten"", ""Drogen"", ""wie"", ""Heroin"", ""oder"", ""Kokain"", ""über"", ""Amphetamin"", "","", ""das"", ""auf"", ""der"", ""Gefährlichkeitsskala"", ""einen"", ""mittleren"", ""Platz"", ""einnimmt"", "","", ""bis"", ""hin"", ""zu"", ""so"", ""genannten"", ""weichen"", ""Drogen"", ""wie"", ""Cannabis"", ""("", ""vgl."", ""BGH"", "","", ""Beschluss"", ""vom"", ""15."", ""Juni"", ""2016"", ""-"", ""1"", ""StR"", ""7216"", "","", ""NStZ-RR"", ""2016"", "","", ""313"", "","", ""314"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 2, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 3, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14 ]"
"""65""","[ ""d"", "")"", ""Auch"", ""eine"", ""systematische"", ""Auslegung"", ""der"", ""Art."", ""92"", ""und"", ""97"", ""GG"", ""unter"", ""Einbeziehung"", ""der"", ""aus"", ""Art."", ""33"", ""Abs."", ""5"", ""GG"", ""ableitbaren"", ""hergebrachten"", ""Grundsätze"", ""des"", ""Richteramtsrechts"", ""führt"", ""nicht"", ""zu"", ""dem"", ""Ergebnis"", "","", ""dass"", ""alle"", ""Berufsrichter"", ""von"", ""Verfassungs"", ""wegen"", ""auf"", ""Lebenszeit"", ""zu"", ""ernennen"", ""wären"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""66""","[ ""Das"", ""FG"", ""ist"", ""zu"", ""Recht"", ""davon"", ""ausgegangen"", "","", ""dass"", ""es"", ""sich"", ""bei"", ""den"", ""von"", ""den"", ""Klägern"", ""eingelösten"", ""Xetra-Gold"", ""Inhaberschuldverschreibungen"", ""nicht"", ""um"", ""Kapitalforderungen"", ""i."", ""S."", ""des"", ""§"", ""20"", ""Abs."", ""2"", ""Satz"", ""1"", ""Nr."", ""7"", ""i."", ""V."", ""m."", ""Abs."", ""1"", ""Nr."", ""7"", ""EStG"", ""handelt"", ""("", ""s."", ""unter"", ""1."", "")"", ""und"", ""dass"", ""die"", ""Kläger"", ""durch"", ""die"", ""innerhalb"", ""eines"", ""Jahres"", ""nach"", ""dem"", ""Erwerb"", ""dieser"", ""Inhaberschuldverschreibungen"", ""erfolgten"", ""Einlösungen"", ""und"", ""Auslieferungen"", ""des"", ""physischen"", ""Goldes"", ""keine"", ""Veräußerungen"", ""i."", ""S."", ""des"", ""§"", ""22"", ""Nr."", ""2"", ""EStG"", ""i."", ""V."", ""m."", ""§"", ""23"", ""Abs."", ""1"", ""Satz"", ""1"", ""Nr."", ""2"", ""EStG"", ""verwirklicht"", ""haben"", ""("", ""s."", ""unter"", ""2."", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""67""","[ ""("", ""1"", "")"", ""Die"", ""Tarifvertragsparteien"", ""haben"", ""im"", ""TV"", ""ERA-APF"", ""die"", ""Verfügungsmacht"", ""des"", ""Arbeitgebers"", ""über"", ""die"", ""dem"", ""ERA-Konto"", ""zuzuführenden"", ""Beträge"", ""nicht"", ""eingeschränkt"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 18, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 5, 12, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""68""","[ ""Er"", ""leidet"", ""an"", ""einer"", ""Gehbehinderung"", "";"", ""der"", ""Grad"", ""der"", ""Behinderung"", ""beträgt"", ""100"", ""v."", ""H."", ""Schwerbehinderte"", ""Menschen"", ""mit"", ""einem"", ""Grad"", ""der"", ""Behinderung"", ""von"", ""nicht"", ""nur"", ""vorübergehend"", ""wenigstens"", ""80"", ""v."", ""H."", ""waren"", ""bis"", ""Ende"", ""2012"", ""von"", ""der"", ""Rundfunkgebührenpflicht"", ""befreit"", "","", ""wenn"", ""sie"", ""behinderungsbedingt"", ""ständig"", ""nicht"", ""an"", ""öffentlichen"", ""Veranstaltungen"", ""teilnehmen"", ""konnten"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""69""","[ ""Diese"", ""Vorgabe"", ""liefe"", ""leer"", "","", ""wenn"", ""Aufgabegewinne"", ""zwar"", ""dem"", ""Arbeitseinkommen"", ""zugeordnet"", ""würden"", "","", ""sie"", ""aber"", ""bei"", ""der"", ""Beitragserhebung"", ""unberücksichtigt"", ""blieben"", "","", ""weil"", ""man"", ""diese"", ""über"", ""§"", ""5"", ""Abs"", ""2"", ""S"", ""2"", ""BeitrVerfGrsSz"", ""nur"", ""solchen"", ""Beitragsmonaten"", ""zuordnen"", ""könnte"", "","", ""in"", ""denen"", ""der"", ""Leistungsberechtigte"", ""tatsächlich"", ""noch"", ""selbstständig"", ""tätig"", ""ist"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 17, 36, 36, 36, 36, 36, 36, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 5, 12, 12, 12, 12, 12, 12, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""70""","[ ""Die"", ""Tariffähigkeit"", ""ist"", ""Voraussetzung"", "","", ""um"", ""einen"", ""wirksamen"", ""Tarifvertrag"", ""iSd."", ""§"", ""1"", ""Abs."", ""1"", ""TVG"", ""abschließen"", ""zu"", ""können"", ""("", ""BAG"", ""14."", ""Dezember"", ""2010"", ""-"", ""1"", ""ABR"", ""1910"", ""-"", ""Rn."", ""64"", "","", ""BAGE"", ""136"", "","", ""302"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14 ]"
"""71""","[ ""Das"", ""Landgericht"", ""hat"", ""die"", ""Angeklagte"", ""wegen"", ""Diebstahls"", ""in"", ""zwei"", ""Fällen"", ""und"", ""Sachbeschädigung"", ""zu"", ""einer"", ""Gesamtfreiheitsstrafe"", ""von"", ""130"", ""Tagessätzen"", ""zu"", ""je"", ""10"", ""Euro"", ""verurteilt"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""72""","[ ""Zulässig"", ""ist"", ""sie"", ""aber"", ""gemäß"", ""§"", ""574"", ""Abs."", ""2"", ""ZPO"", ""nur"", "","", ""wenn"", ""auch"", ""die"", ""dort"", ""bestimmten"", ""weiteren"", ""Voraussetzungen"", ""gegeben"", ""sind"", ""."" ]","[ 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""73""","[ ""Durch"", ""eine"", ""forstwirtschaftliche"", ""Bewirtschaftung"", ""wird"", ""weder"", ""eine"", ""Zerstörung"", ""noch"", ""eine"", ""erhebliche"", ""Beeinträchtigung"", ""iS"", ""des"", ""§"", ""30"", ""BNatSchG"", ""zwingend"", ""verursacht"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 14, 14, 14 ]"
"""74""","[ ""1."", ""1."", ""Die"", ""Widerspruchsmarke"", ""ist"", ""im"", ""Hinblick"", ""auf"", ""den"", ""größten"", ""Teil"", ""der"", ""beanspruchten"", ""Waren"", ""und"", ""Dienstleistungen"", ""unterdurchschnittlich"", ""kennzeichnungskräftig"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""75""","[ ""§"", ""40"", ""Abs."", ""1a"", ""LFGB"", ""verpflichtet"", ""die"", ""Behörden"", "","", ""der"", ""Öffentlichkeit"", ""lebensmittel-"", ""und"", ""futtermittelrechtliche"", ""Verstöße"", ""von"", ""Unternehmen"", ""umfassend"", ""und"", ""in"", ""unternehmensspezifisch"", ""individualisierter"", ""Form"", ""mitzuteilen"", ""."" ]","[ 3, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 2, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""76""","[ ""a"", "")"", ""Bei"", ""den"", ""beschwerdegegenständlichen"", ""Waren"", ""handelt"", ""es"", ""sich"", ""um"", ""solche"", "","", ""die"", ""auf"", ""Verbraucherseite"", ""breite"", ""Verkehrskreise"", ""aus"", ""dem"", ""Bereich"", ""Heimwerker"", ""und"", ""Maler"", ""und"", ""in"", ""diesen"", ""Bereichen"", ""tätige"", ""Fachkreise"", ""ansprechen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""77""","[ ""I."", ""Die"", ""Anmelderin"", ""hat"", ""am"", ""27."", ""Mai"", ""2015"", ""beim"", ""Deutschen"", ""Patent-"", ""und"", ""Markenamt"", ""beantragt"", "","", ""die"", ""Bezeichnung"", ""DUO"", ""als"", ""Wortmarke"", ""für"", ""\"""", ""Wand-"", ""und"", ""Deckenschalungen"", ""aus"", ""Kunststoff"", ""\"""", ""("", ""Klasse"", ""19"", "")"", ""in"", ""das"", ""Markenregister"", ""einzutragen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 4, 23, 23, 23, 38, 38, 38, 38, 8, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 3, 10, 10, 10, 14, 14, 14, 14, 3, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""78""","[ ""Aus"", ""fachmännischer"", ""Sicht"", ""ist"", ""das"", ""Pleuel"", ""17"", ""mit"", ""seinen"", ""Anlenkstellen"", ""18"", ""und"", ""19"", ""als"", ""eigenständiges"", "","", ""gelenkiges"", ""Übertragungsglied"", ""zur"", ""Entkopplung"", ""der"", ""Drehbewegungen"", ""der"", ""Rahmen"", ""21"", "","", ""22"", ""unverzichtbar"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""79""","[ ""c"", "")"", ""Aus"", ""der"", ""Protokollnotiz"", ""zu"", ""§"", ""11"", ""Abs."", ""2"", ""Satz"", ""2"", ""TV-Ärzte"", ""Hessen"", ""ergibt"", ""sich"", ""entgegen"", ""der"", ""Ansicht"", ""des"", ""beklagten"", ""Landes"", ""nichts"", ""anderes"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 18, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 5, 12, 12, 12, 12, 12, 12, 12, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""80""","[ ""bb"", "")"", ""Die"", ""Frage"", "":"" ]","[ 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14 ]"
"""81""","[ ""c"", "")"", ""Bestätigt"", ""wird"", ""dieses"", ""Auslegungsergebnis"", ""nicht"", ""zuletzt"", ""durch"", ""Art."", ""18"", ""Abs."", ""3"", ""Buchst."", ""a"", "","", ""b"", ""und"", ""d"", ""DBA-Kanada"", ""2001"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 1, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 14 ]"
"""82""","[ ""Die"", ""Aufsichtsbehörden"", ""dürften"", ""in"", ""diesem"", ""Sinne"", ""allgemeine"", ""Bewertungsmaßstäbe"", ""entwickeln"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""83""","[ ""bb"", "")"", ""Auch"", ""ein"", ""bewusstes"", ""Abweichen"", ""ohne"", ""Vorlagebereitschaft"", ""liegt"", ""nicht"", ""vor"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""84""","[ ""Durch"", ""diese"", ""Vertragsbestimmungen"", ""sehen"", ""die"", ""Klägerinnen"", ""sich"", ""in"", ""ihren"", ""aufgrund"", ""der"", ""Systemfeststellung"", ""begründeten"", ""Rechtspositionen"", ""verletzt"", ""und"", ""wenden"", ""sich"", ""mit"", ""ihrer"", ""Klage"", ""zum"", ""Verwaltungsgericht"", ""gegen"", ""deren"", ""Durchführung"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""85""","[ ""Die"", ""Zeichen"", ""seien"", ""zudem"", ""unterschiedlich"", ""lang"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14 ]"
"""86""","[ ""Das"", ""Revisionsgericht"", ""darf"", ""bei"", ""einer"", ""unterlassenen"", ""oder"", ""fehlerhaften"", ""Auslegung"", ""atypischer"", ""Willenserklärungen"", ""nur"", ""dann"", ""selbst"", ""auslegen"", "","", ""wenn"", ""das"", ""Landesarbeitsgericht"", ""den"", ""erforderlichen"", ""Sachverhalt"", ""vollständig"", ""festgestellt"", ""hat"", ""und"", ""kein"", ""weiteres"", ""tatsächliches"", ""Vorbringen"", ""der"", ""Parteien"", ""zu"", ""erwarten"", ""ist"", ""("", ""st."", ""Rspr."", "","", ""vgl."", ""nur"", ""BAG"", ""24."", ""September"", ""2014"", ""-"", ""5"", ""AZR"", ""61112"", ""-"", ""Rn."", ""30"", ""mwN"", "","", ""aaO"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14 ]"
"""87""","[ ""Die"", ""Voraussetzungen"", ""des"", ""§"", ""93a"", ""Abs."", ""2"", ""BVerfGG"", ""liegen"", ""nicht"", ""vor"", ""."" ]","[ 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38 ]","[ 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14 ]"
"""88""","[ ""Dr."", ""Bußmann"" ]","[ 38, 11 ]","[ 14, 4 ]"
"""89""","[ ""In"", ""der"", ""Beschwerdesache"", ""betreffend"", ""die"", ""Patentanmeldung"", ""10"", ""2009"", ""003"", ""162.6"", ""hat"", ""der"", ""14."", ""Senat"", ""("", ""Technischer"", ""Beschwerdesenat"", "")"", ""des"", ""Bundespatentgerichts"", ""in"", ""der"", ""Sitzung"", ""vom"", ""1."", ""Februar"", ""2018"", ""unter"", ""Mitwirkung"", ""des"", ""Vorsitzenden"", ""Richters"", ""Dr."", ""Maksymiw"", ""und"", ""der"", ""Richter"", ""Schell"", ""und"", ""Dr."", ""Jäger"", ""sowie"", ""der"", ""Richterin"", ""Dr."", ""Wagner"", ""beschlossen"", "":"" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 2, 21, 21, 21, 21, 21, 21, 21, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 11, 38, 38, 38, 11, 38, 38, 11, 38, 38, 38, 38, 11, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 3, 10, 10, 10, 10, 10, 10, 10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 4, 14, 14, 14, 4, 14, 14, 4, 14, 14, 14, 14, 4, 14, 14 ]"
